"Package","Version"
"magrittr","2.0.3"
"mapproj","1.2.11"
"maps","3.4.2"
"mapsapi","0.5.4"
"margins","0.3.26"
"markdown","1.12"
"MASS","7.3-60"
"mathjaxr","1.6-0"
"Matrix","1.6-4"
"MatrixModels","0.5-3"
"matrixStats","1.2.0"
"maxLik","1.5-2"
"mclust","6.0.1"
"mediation","4.5.0"
"memoise","2.0.1"
"memuse","4.2-3"
"metaBMA","0.6.9"
"metadat","1.2-0"
"metafor","4.4-0"
"metaplus","1.0-4"
"mfx","1.2-2"
"mgcv","1.9-1"
"mice","3.16.0"
"microbenchmark","1.4.10"
"mime","0.12"
"miniUI","0.1.1.1"
"minqa","1.2.6"
"misc3d","0.9-1"
"miscTools","0.6-28"
"mitml","0.4-5"
"mitools","2.4"
"mlogit","1.1-1"
"mnormt","2.1.1"
"mockery","0.4.4"
"mockr","0.2.1"
"modelbased","0.8.6"
"modeldata","1.2.0"
"modelenv","0.1.1"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"modeltests","0.1.4"
"modeltools","0.2-23"
"moments","0.14.1"
"mondate","0.10.02"
"monochromeR","0.2.0"
"mosaic","1.9.0"
"mosaicCore","0.9.4.0"
"mosaicData","0.20.4"
"muhaz","1.2.6.4"
"multcomp","1.4-25"
"multcompView","0.1-9"
"multicool","1.0.0"
"munsell","0.5.0"
"mvtnorm","1.2-4"
"naniar","1.0.0"
"nanotime","0.3.7"
"natserv","1.0.0"
"NbClust","3.0.1"
"ncdf4","1.22"
"neonUtilities","2.4.0"
"network","1.18.2"
"nFactors","2.4.1.1"
"nleqslv","3.3.5"
"nlme","3.1-164"
"nloptr","2.0.3"
"nnet","7.3-19"
"norm","1.0-11.1"
"numDeriv","2016.8-1.1"
"nycflights13","1.0.2"
"officedown","0.3.1"
"officer","0.6.3"
"opdisDownsampling","0.8.3"
"openssl","2.1.1"
"openxlsx","4.2.5.2"
"orcutt","2.3"
"ordinal","2023.12-4"
"packrat","0.9.2"
"pacman","0.5.1"
"pak","0.7.1"
"paletteer","1.5.0"
"palmerpenguins","0.1.1"
"pan","1.9"
"pander","0.6.5"
